iteration,scenario,scenario_type,gmv,net_value,risk_adjusted_gmv,commission_revenue,subsidy,refunds,disputes,chargeback_loss,total_leakage,contribution_margin_proxy,top_risk_seller_downside_exposure
0,baseline,reference,11166915.66650193,10440112.435201978,10108170.945324047,1230580.1353856295,410551.05570042465,1084774.4317225788,871290.6558993635,616694.3575815791,2983310.500903946,-1752730.3655183164,1283778.2082370592
0,seller_quality_improvement,quality_upside,11063085.476705508,10393911.37888423,10119144.40100392,1219138.1783732667,387429.2817969573,1006964.5448885016,875283.6068558425,567431.9729041373,2837109.406445439,-1617971.2280721723,1020000.7389631117
0,subsidy_tightening,policy_upside,10691187.04296484,10134495.999820609,9825355.153991723,1178155.4362616611,269617.75268900325,1096844.8955983324,850804.9310812105,637526.8697841291,2854794.4491526755,-1676639.0128910143,1118164.4389546954
0,fraud_control_improvement,risk_upside,11290724.019533856,10490141.876364224,10251323.10328602,1244223.6609916238,403702.30006473686,1138549.2564088244,734317.017421262,431080.3997089682,2707648.973603791,-1463425.3126121673,813505.1153497858
0,downside_high_risk_deterioration,downside,11638718.543041855,10772627.885244891,10282891.994849997,1282572.2221020595,466286.50064192596,1536052.9906592981,1210343.856312508,753084.1888432358,3965767.536456968,-2683195.3143549087,1939190.9883010061
1,baseline,reference,11336625.89594688,10517295.640627412,10162547.39531212,1249281.990343948,400392.3727645173,1253919.4695741057,1024675.5343933963,625964.4253824021,3304951.8021144215,-2055669.8117704736,1299823.300972202
1,seller_quality_improvement,quality_upside,11492889.612115782,10758055.798557328,10463152.975159023,1266502.0563623407,359188.4513784761,1018218.4162632633,812043.4769024492,537202.2154595106,2726652.5600036993,-1460150.5036413586,1125529.250528574
1,subsidy_tightening,policy_upside,10760089.0023232,10213374.925894413,9885493.098442266,1185748.34597888,249144.52086082232,1095320.331278904,910599.1148766598,612696.4439548755,2867760.4109712616,-1682012.0649923815,1211646.0786296313
1,fraud_control_improvement,risk_upside,11332093.21735579,10372736.595836574,10144041.459881779,1248782.4948340985,414980.6501989715,1085990.9220792186,641901.269150589,330914.04550163285,2473786.8869304117,-1225004.3920963132,854663.0707327771
1,downside_high_risk_deterioration,downside,12023596.586944856,11141189.011732569,10640366.643961444,1324985.3010146073,446226.63522930443,1614756.8420401397,1388210.9753024161,813212.8121387805,4262407.264710641,-2937421.963696033,1843666.2882422728
2,baseline,reference,11280919.889938423,10242219.984316992,9901378.370866014,1243143.258176272,405758.70588833705,1171361.9976597824,941327.3070355726,621912.7895132144,3140360.8000969067,-1897217.5419206347,1311046.7278188688
2,seller_quality_improvement,quality_upside,11207222.484104233,10326260.847760817,10055664.580475735,1235021.8962570576,376279.23441203556,895580.7666636653,724343.6907770918,485912.6865924641,2482116.3784452565,-1247094.482188199,1015207.3393940215
2,subsidy_tightening,policy_upside,10602045.22635415,9863025.162768606,9563092.786895944,1168332.1195975651,285450.9975641377,1056362.8861385935,914344.0037574647,522961.20778613933,2779119.0952463355,-1610786.9756487703,1053251.0363158525
2,fraud_control_improvement,risk_upside,11182584.41011691,10437289.918564135,10214866.961861871,1232306.811328646,358748.3987063236,1134251.6459490622,721031.4238052857,348766.7869405656,2562798.2554012374,-1330491.4440725914,838686.0484074729
2,downside_high_risk_deterioration,downside,11623398.062943257,10697157.56055029,10224088.209798282,1280883.9243628315,441272.2978017621,1683391.6929801756,1255568.5635160496,735061.4260984457,4115293.980396433,-2834410.056033601,1867731.1737821659
3,baseline,reference,12001349.636198951,11154733.35463863,10801666.393600652,1322533.7148758369,452243.3507110845,1219064.5215518235,978426.7322194902,603888.5206490627,3253623.125131461,-1931089.410255624,1259621.9473976854
3,seller_quality_improvement,quality_upside,11752148.701986738,10861220.73064189,10522224.288465748,1295072.0837039456,367020.7176477287,984220.4288930031,866348.0370035422,609890.2606125072,2827479.4441567813,-1532407.3604528357,1225100.6211235505
3,subsidy_tightening,policy_upside,11320170.830739064,10433965.76695791,10124509.680368226,1247468.662745177,255685.34921204252,1160264.407943379,867446.2506462205,578022.8588338648,2861418.8666355065,-1613950.2038903295,1171590.4219850842
